0,duration,count,duration/count
 Training on sample,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
Errands ,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
Read ,0 days 03:00:00.000000000,3,0 days 01:00:00.000000000
" Mati, Sella",0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
Game developement ,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Wikipedia,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Bbq,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Preprocessing,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Zoom Party,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
Twitch Music Presents...,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 New lease + cleaning,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Change address,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
Reset Mac,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
" Eyal, Daniel",0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 London,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 GDP vs Income,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Plan,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Golden Gate Park,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Preparation,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Elior,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Statistical Questions,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 P/E to price change,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
Family ,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
 Tal + Mati,0 days 03:00:00.000000000,1,0 days 03:00:00.000000000
" Liran, Itay, Michal",0 days 02:45:00.000000000,1,0 days 02:45:00.000000000
 Sign contract,0 days 02:30:00.000000000,1,0 days 02:30:00.000000000
 Week ,0 days 02:30:00.000000000,1,0 days 02:30:00.000000000
 Sign Contract,0 days 02:15:00.000000000,1,0 days 02:15:00.000000000
Kicking off 2020 at Microsoft Reactor,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
"Cocktails and Tech Networking Mixer | San Francisco W Hotel | Feb. 18, 2020",0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
"Featuring PyTorch with FB, Autodesk and AWS",0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 rewards,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
הסכם ממון,0 days 02:00:00.000000000,2,0 days 01:00:00.000000000
Startup founders breakfast ,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Advents,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Problem solving ,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Arie Eldad,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
" Inflation, interest rate, real estate prices",0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Jason,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 GDP vs S&P 500,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Movie,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 New lease + Paint,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Dinner,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Debate,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 David Pervan,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Crystal Society,0 days 02:00:00.000000000,2,0 days 01:00:00.000000000
 IQ by country,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Cambria,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Inequality in America,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Vronsky,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
" Sella, Mati",0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Tal Abib,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 App,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
 Anniversary,0 days 02:00:00.000000000,1,0 days 02:00:00.000000000
Keystone/Jordan NLP Conversation,0 days 01:30:00.000000000,2,0 days 00:45:00.000000000
 Police Unjustified Shooting vs. Race,0 days 01:30:00.000000000,1,0 days 01:30:00.000000000
Problem solving ,0 days 01:30:00.000000000,1,0 days 01:30:00.000000000
 HRT,0 days 01:30:00.000000000,1,0 days 01:30:00.000000000
 Group session,0 days 01:30:00.000000000,2,0 days 00:45:00.000000000
Hang picture,0 days 01:15:00.000000000,1,0 days 01:15:00.000000000
 Analyze syndications,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Haplogroups,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Habit,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Application,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Civilian casualties ratio,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
Who to donate to,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
What course,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
Umbrella insurance ,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
Startup School Group Session,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Course ,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
ברכה לדניאל ויונית,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 mail,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 computer,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Jewbilee,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 statistics,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Tik Tok,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Talk to tenants regarding complaint,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
Ashley ,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
Book flights,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Talk to Hemlane regarding complaint about tenants,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Sella's Book,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Robo advisors,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Refinance,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
Course ,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Analyze,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
E*TRADE for Shiran,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
 Plan vs. Execute,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
Find chat,0 days 01:00:00.000000000,1,0 days 01:00:00.000000000
