word,count,freq,log_freq,tfidf,tfiedf
10110101101,2,1.32e-07,-15.84046391436004,-0.1262589284513894,15151515.151515152
1g,5,3.55e-07,-14.851148047470996,-0.3366743085462306,14084507.042253522
bonobo,3,2.24e-07,-15.311619785091372,-0.19592963005266378,13392857.142857144
8h,2,1.55e-07,-15.679840720027164,-0.12755231610519416,12903225.806451613
bookmarks,8,6.76e-07,-14.207072760903447,-0.5630998119482615,11834319.52662722
gladwell,3,2.69e-07,-15.128554457344572,-0.1983005057395664,11152416.356877323
epsilon,8,7.59e-07,-14.091264059550781,-0.5677276336736985,10540184.453227932
gaussian,7,6.76e-07,-14.207072760903447,-0.49271233545472887,10355029.585798817
monogamy,6,6.17e-07,-14.298396813041023,-0.41962746442507654,9724473.257698542
stereoscopic,3,3.39e-07,-14.89726572956596,-0.20137923659682255,8849557.522123894
outliers,5,5.89e-07,-14.344839653294825,-0.34855739909588773,8488964.346349746
1000w,2,2.4e-07,-15.24262691360442,-0.13121097900880527,8333333.333333334
5g,4,4.9e-07,-14.528860445841739,-0.275314090524204,8163265.306122449
e1,5,6.61e-07,-14.229511997094725,-0.35138239463313026,7564296.5204236
trac,2,2.75e-07,-15.10649473927984,-0.13239338671992576,7272727.2727272725
persecutions,5,6.92e-07,-14.183679881328741,-0.3525178262505735,7225433.526011561
9k,2,2.82e-07,-15.081358766008298,-0.1326140456593193,7092198.581560283
joule,2,2.82e-07,-15.081358766008298,-0.1326140456593193,7092198.581560283
graff,4,5.75e-07,-14.368895796149062,-0.27837908053255006,6956521.739130435
wallach,2,2.95e-07,-15.036290480606592,-0.1330115298437169,6779661.016949153
maslow,2,3.02e-07,-15.012838819571542,-0.13321930808933302,6622516.556291391
m1,10,1.7e-06,-13.284882306902103,-0.7527353098796022,5882352.94117647
qr,7,1.26e-06,-13.584398837000888,-0.5152970023917108,5555555.555555556
gestalt,2,3.89e-07,-14.759686493327965,-0.13550423316268195,5141388.174807198
neuron,6,1.17e-06,-13.65850680915461,-0.43928667195000426,5128205.128205128
spitz,2,3.98e-07,-14.736813831661973,-0.1357145460915717,5025125.628140704
scheduler,2,4.17e-07,-14.69017961514761,-0.1361453741476192,4796163.069544365
secessionist,2,4.27e-07,-14.666481823717787,-0.13636535496643207,4683840.74941452
b1,6,1.29e-06,-13.560868339590693,-0.44244954303428463,4651162.790697674
turing,7,1.55e-06,-13.377255627033119,-0.5232762380539556,4516129.0322580645
chewbacca,2,4.47e-07,-14.620707242332843,-0.13679228828337342,4474272.930648769
2h,3,6.76e-07,-14.207072760903447,-0.21116242948059807,4437869.822485208
7k,2,4.57e-07,-14.598582446052207,-0.13699960303617328,4376367.61487965
randomness,3,6.92e-07,-14.183679881328741,-0.2115106957503441,4335260.115606937
bla,4,9.33e-07,-13.884860636099067,-0.28808355408339154,4287245.444801715
