word,count,freq,log_freq,tfidf,tfiedf,Topic,,,
8h,2,1.55E-07,-15.67984072,-0.1275523161,12903225.81,,244,FALSE,74
bookmarks,8,6.76E-07,-14.20707276,-0.5630998119,11834319.53,project management,252,TRUE,82
gladwell,3,2.69E-07,-15.12855446,-0.1983005057,11152416.36,,255,FALSE,82
epsilon,8,7.59E-07,-14.09126406,-0.5677276337,10540184.45,,263,FALSE,82
gaussian,7,6.76E-07,-14.20707276,-0.4927123355,10355029.59,statistics,270,TRUE,89
monogamy,6,6.17E-07,-14.29839681,-0.4196274644,9724473.258,sociology,276,TRUE,95
stereoscopic,3,3.39E-07,-14.89726573,-0.2013792366,8849557.522,,279,FALSE,95
outliers,5,5.89E-07,-14.34483965,-0.3485573991,8488964.346,,284,FALSE,95
1000w,2,2.40E-07,-15.24262691,-0.131210979,8333333.333,physics,286,TRUE,97
5g,4,4.90E-07,-14.52886045,-0.2753140905,8163265.306,,290,FALSE,97
e1,5,6.61E-07,-14.229512,-0.3513823946,7564296.52,,295,FALSE,97
trac,2,2.75E-07,-15.10649474,-0.1323933867,7272727.273,project management,297,TRUE,99
persecutions,5,6.92E-07,-14.18367988,-0.3525178263,7225433.526,,302,FALSE,99
9k,2,2.82E-07,-15.08135877,-0.1326140457,7092198.582,money,304,TRUE,101
joule,2,2.82E-07,-15.08135877,-0.1326140457,7092198.582,physics,306,TRUE,103
graff,4,5.75E-07,-14.3688958,-0.2783790805,6956521.739,,310,FALSE,103
wallach,2,2.95E-07,-15.03629048,-0.1330115298,6779661.017,,312,FALSE,103
maslow,2,3.02E-07,-15.01283882,-0.1332193081,6622516.556,sociology,314,TRUE,105
m1,10,1.70E-06,-13.28488231,-0.7527353099,5882352.941,,324,FALSE,105
qr,7,1.26E-06,-13.58439884,-0.5152970024,5555555.556,startup,331,TRUE,112
gestalt,2,3.89E-07,-14.75968649,-0.1355042332,5141388.175,sociology,333,TRUE,114
neuron,6,1.17E-06,-13.65850681,-0.439286672,5128205.128,biology,339,TRUE,120
spitz,2,3.98E-07,-14.73681383,-0.1357145461,5025125.628,,341,FALSE,120
scheduler,2,4.17E-07,-14.69017962,-0.1361453741,4796163.07,project management,343,TRUE,122
secessionist,2,4.27E-07,-14.66648182,-0.136365355,4683840.749,,345,FALSE,122
b1,6,1.29E-06,-13.56086834,-0.442449543,4651162.791,,351,FALSE,122
turing,7,1.55E-06,-13.37725563,-0.5232762381,4516129.032,nlp,358,TRUE,129
chewbacca,2,4.47E-07,-14.62070724,-0.1367922883,4474272.931,,360,FALSE,129
2h,3,6.76E-07,-14.20707276,-0.2111624295,4437869.822,,363,FALSE,129
7k,2,4.57E-07,-14.59858245,-0.136999603,4376367.615,money,365,TRUE,131
randomness,3,6.92E-07,-14.18367988,-0.2115106958,4335260.116,statistics,368,TRUE,134
bla,4,9.33E-07,-13.88486064,-0.2880835541,4287245.445,,372,FALSE,134
kph,2,4.90E-07,-14.52886045,-0.1376570453,4081632.653,physics,374,TRUE,136
causality,4,1.00E-06,-13.81551056,-0.2895296546,4000000,,378,FALSE,136
strippers,6,1.51E-06,-13.40340091,-0.4476475815,3973509.934,hobby,384,TRUE,142
singularity,5,1.26E-06,-13.58439884,-0.3680692874,3968253.968,sociology,389,TRUE,147
2g,3,7.59E-07,-14.09126406,-0.2128978626,3952569.17,,392,FALSE,147
volumetric,2,5.13E-07,-14.48298999,-0.138093032,3898635.478,physics,394,TRUE,149
celts,3,7.76E-07,-14.06911332,-0.213233054,3865979.381,,397,FALSE,149
a1,16,4.17E-06,-12.38759452,-1.291614766,3836930.456,,413,FALSE,149
b2,6,1.66E-06,-13.30869296,-0.4508331524,3614457.831,,419,FALSE,149
chimp,3,8.32E-07,-13.9994334,-0.2142943871,3605769.231,biology,422,TRUE,152
fractal,3,8.51E-07,-13.97685371,-0.214640581,3525264.395,math,425,TRUE,155
hydrophobic,2,5.89E-07,-14.34483965,-0.1394229596,3395585.739,biology,427,TRUE,157
1000100000111,2,5.89E-07,-14.34483965,-0.1394229596,3395585.739,,429,FALSE,157
inherits,2,6.03E-07,-14.32134864,-0.1396516522,3316749.585,,431,FALSE,157
e2,5,1.51E-06,-13.40340091,-0.3730396513,3311258.278,,436,FALSE,157
realty,5,1.58E-06,-13.35808571,-0.3743051294,3164556.962,real estate,441,TRUE,162
kwh,3,9.55E-07,-13.8615545,-0.2164259428,3141361.257,physics,444,TRUE,165
buffett,3,9.77E-07,-13.83877918,-0.216782128,3070624.36,money,447,TRUE,168
aspires,2,6.61E-07,-14.229512,-0.1405529579,3025718.608,,449,FALSE,168
m2,10,3.31E-06,-12.61856237,-0.7924833042,3021148.036,,459,FALSE,168
todo,3,1.00E-06,-13.81551056,-0.217147241,3000000,project management,462,TRUE,171
parallax,2,7.24E-07,-14.13847444,-0.1414579775,2762430.939,,464,FALSE,171
1h,2,7.41E-07,-14.11526521,-0.1416905719,2699055.331,,466,FALSE,171
maximizing,4,1.51E-06,-13.40340091,-0.298431721,2649006.623,,470,FALSE,171
cortex,8,3.02E-06,-12.71025373,-0.6294130843,2649006.623,biology,478,TRUE,179
voila,2,7.59E-07,-14.09126406,-0.1419319084,2635046.113,,480,FALSE,179
hoa,2,7.59E-07,-14.09126406,-0.1419319084,2635046.113,,482,FALSE,179
hippocampus,2,8.32E-07,-13.9994334,-0.1428629248,2403846.154,biology,484,TRUE,181
generalize,2,9.33E-07,-13.88486064,-0.144041777,2143622.722,,486,FALSE,181
errands,3,1.41E-06,-13.47192085,-0.2226853938,2127659.574,,489,FALSE,181
tabs,6,2.88E-06,-12.75772026,-0.4703034614,2083333.333,,495,FALSE,181
2x,6,2.88E-06,-12.75772026,-0.4703034614,2083333.333,,501,FALSE,181
inertia,4,1.95E-06,-13.14768119,-0.3042361572,2051282.051,physics,505,TRUE,185
ide,3,1.48E-06,-13.42346847,-0.2234891829,2027027.027,code,508,TRUE,188
a2,6,3.16E-06,-12.66493853,-0.4737488449,1898734.177,,514,FALSE,188
